Filer Name,Is Terminated?,SOS ID,Type,Local Agency ID,election_year,candidate,contest,citywide,incumbent,start,end,is_winner,ballot_status
Stacy Thomas for Oakland School District 1 2020,Yes,1432118,Candidate or Officeholder,COAK-155201,2020,Stacy Thomas,OUSD District 1,School District,FALSE,9/3/2020,,FALSE,Qualified
Dominguez Walton for City Council 2020,Yes,1418926,Candidate or Officeholder,COAK-154865,2020,Steph Dominguez Walton,City Council District 1,District,FALSE,1/1/2019,,FALSE,Qualified
Treva Reid for Oakland Mayor 2022,No,1442079,Candidate or Officeholder,COAK-155498,2022,Treva Reid,Mayor,Citywide,FALSE,11/18/2021,,,
Treva Reid for Oakland City Council 2020 Officeholder Committee,No,1366759,Candidate or Officeholder,COAK-153791,2020,Treva Reid,City Council District 7,District,FALSE,1/1/2014,,FALSE,Qualified
Tri Ngo Election Committee Oakland District 1 Councilmember Campaign 2020,Yes,1426138,Candidate or Officeholder,COAK-154906,2020,Tri Ngo,City Council District 1,District,FALSE,1/1/2019,,FALSE,Qualified
Jordan for Mayor 2022,No,1439246,Candidate or Officeholder,COAK-155441,2022,Tyron Jordan,Mayor,Citywide,FALSE,6/28/2021,,,
COALITION TO ELECT VALARIE BACHELOR FOR SCHOOL BOARD 2022,No,1451532,Candidate or Officeholder,COAK-155673,2022,Valarie L. Bachelor,OUSD District 6,School District,FALSE,,,,
"Van Cedric Williams for Oakland Unified School Board Seat 3, 2020",No,1427826,Candidate or Officeholder,COAK-155159,2020,VanCedric Williams,OUSD District 3,School District,FALSE,6/11/2020,,TRUE,Qualified
VALERIO FOR OUSD SCHOOL BOARD 2020,Yes,1422389,Candidate or Officeholder,COAK-154900,2020,Victor Javier Valerio,OUSD District 7,School District,FALSE,1/1/2019,,FALSE,Qualified
Zoe Lopez-Meraz for City Council 2020,Yes,1429858,Candidate or Officeholder,COAK-155200,2020,Zoe Lopez-Meraz,City Council District 5,District,FALSE,9/2/2020,,FALSE,Qualified
